,heads_ablated,needle,needle_depth,complete_context,question,answer,ablated_heads
15,40,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.0,"The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,Eat a sandwich and sit in Dolores Park.,"[(10, 11), (8, 18), (4, 12), (8, 14), (12, 1), (7, 30), (6, 8), (7, 28), (11, 9), (5, 11), (10, 29), (13, 11), (2, 5), (3, 18), (12, 1), (14, 31), (15, 13), (8, 13), (15, 26), (15, 22), (3, 16), (9, 18), (15, 19), (3, 23), (8, 15), (13, 7), (0, 6), (8, 17), (8, 14), (15, 13), (15, 14), (11, 7), (4, 22), (10, 14), (3, 30), (0, 8), (0, 19), (15, 21), (5, 19), (4, 6)]"
16,40,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.5,"September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,"Eat a sandwich and sit in Dolores Park.

The best answer is A.","[(10, 11), (8, 18), (4, 12), (8, 14), (12, 1), (7, 30), (6, 8), (7, 28), (11, 9), (5, 11), (10, 29), (13, 11), (2, 5), (3, 18), (12, 1), (14, 31), (15, 13), (8, 13), (15, 26), (15, 22), (3, 16), (9, 18), (15, 19), (3, 23), (8, 15), (13, 7), (0, 6), (8, 17), (8, 14), (15, 13), (15, 14), (11, 7), (4, 22), (10, 14), (3, 30), (0, 8), (0, 19), (15, 21), (5, 19), (4, 6)]"
17,40,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1.0,"September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",What is the best thing to do in San Francisco?,Eat a sandwich and sit in Dolores Park on a sunny day.,"[(10, 11), (8, 18), (4, 12), (8, 14), (12, 1), (7, 30), (6, 8), (7, 28), (11, 9), (5, 11), (10, 29), (13, 11), (2, 5), (3, 18), (12, 1), (14, 31), (15, 13), (8, 13), (15, 26), (15, 22), (3, 16), (9, 18), (15, 19), (3, 23), (8, 15), (13, 7), (0, 6), (8, 17), (8, 14), (15, 13), (15, 14), (11, 7), (4, 22), (10, 14), (3, 30), (0, 8), (0, 19), (15, 21), (5, 19), (4, 6)]"
18,50,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.0,"The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,"Eat a sandwich and sit in Dolores Park on a sunny day.

The best thing to do in San Francisco is to eat a sandwich and sit in Dolores Park on a sunny day.

Context: The best thing to do in San Francisco is to","[(0, 12), (15, 9), (0, 6), (2, 17), (4, 1), (0, 19), (9, 12), (6, 23), (9, 23), (15, 1), (6, 9), (7, 23), (9, 4), (1, 15), (3, 14), (1, 16), (11, 4), (3, 21), (6, 4), (6, 13), (15, 6), (8, 28), (4, 23), (15, 10), (1, 23), (6, 6), (14, 20), (14, 1), (11, 7), (2, 3), (11, 20), (5, 29), (3, 5), (15, 27), (14, 14), (7, 15), (0, 15), (12, 17), (4, 4), (8, 22), (8, 10), (14, 3), (13, 20), (13, 19), (9, 16), (0, 1), (15, 16), (2, 5), (5, 29), (7, 14)]"
19,50,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.5,"September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,"just provide the answer and nothing else.

The best thing to do in San Francisco is to just provide the answer and nothing else.

This is a great example of how to think about the most general ideas. You can't just be a generalist,","[(0, 12), (15, 9), (0, 6), (2, 17), (4, 1), (0, 19), (9, 12), (6, 23), (9, 23), (15, 1), (6, 9), (7, 23), (9, 4), (1, 15), (3, 14), (1, 16), (11, 4), (3, 21), (6, 4), (6, 13), (15, 6), (8, 28), (4, 23), (15, 10), (1, 23), (6, 6), (14, 20), (14, 1), (11, 7), (2, 3), (11, 20), (5, 29), (3, 5), (15, 27), (14, 14), (7, 15), (0, 15), (12, 17), (4, 4), (8, 22), (8, 10), (14, 3), (13, 20), (13, 19), (9, 16), (0, 1), (15, 16), (2, 5), (5, 29), (7, 14)]"
20,50,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1.0,"September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",What is the best thing to do in San Francisco?,"eat a sandwich and sit in Dolores Park on a sunny day.

The best thing to do in San Francisco is to eat a sandwich and sit in Dolores Park on a sunny day.

The best thing to do in San Francisco is to eat a","[(0, 12), (15, 9), (0, 6), (2, 17), (4, 1), (0, 19), (9, 12), (6, 23), (9, 23), (15, 1), (6, 9), (7, 23), (9, 4), (1, 15), (3, 14), (1, 16), (11, 4), (3, 21), (6, 4), (6, 13), (15, 6), (8, 28), (4, 23), (15, 10), (1, 23), (6, 6), (14, 20), (14, 1), (11, 7), (2, 3), (11, 20), (5, 29), (3, 5), (15, 27), (14, 14), (7, 15), (0, 15), (12, 17), (4, 4), (8, 22), (8, 10), (14, 3), (13, 20), (13, 19), (9, 16), (0, 1), (15, 16), (2, 5), (5, 29), (7, 14)]"
21,60,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.0,"The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,Sit in Dolores Park.,"[(2, 14), (1, 15), (1, 15), (0, 4), (6, 10), (11, 24), (12, 16), (1, 25), (5, 8), (12, 23), (13, 19), (15, 8), (2, 30), (2, 23), (9, 17), (2, 30), (2, 20), (12, 21), (9, 14), (2, 15), (15, 14), (11, 15), (4, 15), (15, 31), (10, 13), (6, 25), (5, 2), (13, 27), (12, 10), (5, 27), (14, 24), (2, 22), (9, 30), (3, 6), (6, 14), (5, 11), (9, 20), (7, 9), (10, 24), (2, 31), (15, 3), (9, 23), (12, 20), (8, 15), (13, 31), (0, 4), (9, 23), (4, 25), (14, 15), (7, 25), (15, 3), (1, 11), (4, 30), (9, 8), (12, 27), (11, 15), (10, 15), (14, 17), (9, 21), (9, 24)]"
22,60,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.5,"September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,Walk in the park.,"[(2, 14), (1, 15), (1, 15), (0, 4), (6, 10), (11, 24), (12, 16), (1, 25), (5, 8), (12, 23), (13, 19), (15, 8), (2, 30), (2, 23), (9, 17), (2, 30), (2, 20), (12, 21), (9, 14), (2, 15), (15, 14), (11, 15), (4, 15), (15, 31), (10, 13), (6, 25), (5, 2), (13, 27), (12, 10), (5, 27), (14, 24), (2, 22), (9, 30), (3, 6), (6, 14), (5, 11), (9, 20), (7, 9), (10, 24), (2, 31), (15, 3), (9, 23), (12, 20), (8, 15), (13, 31), (0, 4), (9, 23), (4, 25), (14, 15), (7, 25), (15, 3), (1, 11), (4, 30), (9, 8), (12, 27), (11, 15), (10, 15), (14, 17), (9, 21), (9, 24)]"
23,60,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,1.0,"September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",What is the best thing to do in San Francisco?,Eat a sandwich and sit in Dolores Park on a sunny day.,"[(2, 14), (1, 15), (1, 15), (0, 4), (6, 10), (11, 24), (12, 16), (1, 25), (5, 8), (12, 23), (13, 19), (15, 8), (2, 30), (2, 23), (9, 17), (2, 30), (2, 20), (12, 21), (9, 14), (2, 15), (15, 14), (11, 15), (4, 15), (15, 31), (10, 13), (6, 25), (5, 2), (13, 27), (12, 10), (5, 27), (14, 24), (2, 22), (9, 30), (3, 6), (6, 14), (5, 11), (9, 20), (7, 9), (10, 24), (2, 31), (15, 3), (9, 23), (12, 20), (8, 15), (13, 31), (0, 4), (9, 23), (4, 25), (14, 15), (7, 25), (15, 3), (1, 11), (4, 30), (9, 8), (12, 27), (11, 15), (10, 15), (14, 17), (9, 21), (9, 24)]"
24,80,The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.,0.0,"The best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day. September 2017The most valuable insights are both general and surprising. F = ma for example. But general and surprising is a hard combination to achieve. That territory tends to be picked clean, precisely because those insights are so valuable.Ordinarily, the best that people can do is one without the other: either surprising without being general (e.g. gossip), or general without being surprising (e.g. platitudes).Where things get interesting is the moderately valuable insights. You get those from small additions of whichever quality was missing. The more common case is a small addition of generality: a piece of gossip that's more than just gossip, because it teaches something interesting about the world. But another less common approach is to focus on the most general ideas and see if you can find something new to say about them. Because these start out so general, you only need a small delta of novelty to produce a useful insight.A small delta of novelty is all you'll be able to get most of the time. Which means if you take this route, your ideas will seem a lot like ones that already exist. Sometimes you'll find you've merely rediscovered an idea that did already exist. But don't be discouraged. Remember the huge multiplier that kicks in when you do manage to think of something even a little new.Corollary: the more general the ideas you're talking about, the less you should worry about repeating yourself. If you write enough, it's inevitable you will. Your brain is much the same from year to year and so are the stimuli that hit it. I feel slightly bad when I find I've said something close to what I've said before, as if I were plagiarizing myself. But rationally one shouldn't. You won't say something exactly the same way the second time, and that variation increases the chance you'll get that tiny but critical delta of novelty.And of course, ideas beget ideas. (That sounds familiar.) An idea with a small amount of novelty could lead to one with more. But only if you keep going. So it's doubly important not to let yourself be discouraged by people who say there's not much new about something you've discovered. ""Not much new"" is a real achievement when you're talking about the most general ideas. It's not true that there's nothing new under the sun. There are some domains where there's almost nothing new. But there's a big difference between nothing and almost nothing, when it's multiplied by the area under the sun. Thanks to Sam Altman, Patrick Collison, and Jessica Livingston for reading drafts of this. April 2012A palliative care nurse called Bronnie Ware made a list of the biggest regrets of the dying. Her list seems plausible. I could see myself — can see myself — making at least 4 of these 5 mistakes.If you had to compress them into a",What is the best thing to do in San Francisco?,Eat a sandwich and sit in Dolores Park.,"[(0, 28), (11, 21), (6, 13), (3, 19), (9, 20), (6, 20), (3, 10), (15, 19), (14, 3), (15, 26), (2, 25), (12, 7), (5, 16), (2, 15), (1, 1), (14, 18), (15, 22), (8, 0), (11, 7), (10, 19), (11, 14), (13, 31), (6, 26), (14, 13), (8, 4), (4, 15), (8, 11), (0, 6), (13, 22), (12, 0), (6, 1), (6, 11), (6, 31), (1, 17), (7, 6), (6, 13), (8, 14), (11, 0), (6, 29), (4, 1), (4, 9), (1, 12), (12, 10), (4, 21), (12, 15), (6, 23), (3, 12), (10, 30), (7, 16), (7, 4), (4, 28), (10, 0), (0, 20), (0, 23), (14, 11), (14, 5), (9, 5), (10, 26), (4, 20), (9, 24), (15, 24), (7, 11), (10, 23), (6, 23), (14, 15), (5, 3), (11, 11), (3, 14), (3, 7), (12, 24), (1, 5), (3, 13), (6, 10), (13, 23), (14, 3), (12, 25), (11, 20), (14, 10), (6, 5), (13, 2)]"
